    PID TTY          TIME CMD
      2 hvc0     00:00:00 init-systemd(Ub
      6 hvc0     00:00:01 init
    684 pts/1    00:00:00 bash
    763 pts/2    00:00:00 sh
    773 pts/2    00:03:04 node
    844 pts/2    00:00:15 node
    865 pts/2    00:56:02 node
    866 pts/2    00:51:17 node
    869 pts/2    00:02:58 node
    930 pts/2    00:01:49 node
   1105 pts/2    00:00:53 rust-analyzer
   1371 pts/2    00:01:23 language_server
   1747 pts/2    00:00:02 npm exec chrome
   1770 pts/2    00:02:16 language_server
   1824 pts/2    00:00:01 npm exec chrome
   1867 pts/2    00:00:02 rust-analyzer-p
   1868 pts/2    00:00:00 rust-analyzer-p
   2178 pts/2    00:00:00 sh
   2179 pts/2    00:00:02 chrome-devtools
   2180 pts/2    00:00:00 sh
   2186 pts/2    00:00:02 chrome-devtools
   2246 pts/2    00:00:02 node
   2268 pts/2    00:00:02 node
   2269 pts/2    00:01:08 node
   2298 pts/2    00:00:00 node
   2325 pts/2    00:00:01 node
   2335 pts/2    00:04:57 pyrefly
   6725 pts/7    00:19:54 claude
   7007 pts/3    00:11:10 claude
 210109 pts/8    00:00:01 MainThread
 210121 pts/8    00:00:00 sh
 210122 pts/8    00:00:03 MainThread
 210231 pts/8    00:00:00 sh
 210234 pts/8    00:00:00 MainThread
 210265 pts/8    00:00:00 sh
 210266 pts/8    00:00:29 MainThread
 210282 pts/8    00:00:25 esbuild
 210307 pts/8    00:01:06 review-manager
 210370 pts/8    00:00:04 WebKitNetworkPr
 210374 pts/8    00:02:42 WebKitWebProces
 214109 pts/8    00:00:00 sh
 224006 pts/2    00:00:03 python
 341413 pts/10   00:00:00 tmux: client
 354817 pts/2    00:00:03 node
 495501 pts/2    00:00:00 node
 515788 pts/2    00:00:28 node
 521832 pts/2    00:00:00 sleep
 524759 pts/9    00:00:00 ps
